processo,contratante,contratado,objeto,vigencia,valor_total,data_assinatura
23034.031501/2023-41,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,04.486.030/0001-00 - LUCCA CULTURA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 290.282,97",15/12/2025
23034.025122/2023-11,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,22.622.213/0001-98 - BAMBOLE EDITORA E LIVRARIA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 725.941,01",15/12/2025
23034.031153/2023-10,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,20.513.288/0001-05 - LAG NEIRA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 585.684,78",15/12/2025
23034.031498/2023-65,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,43.401.056/0001-60 - LONGUINA EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 242.918,22",15/12/2025
23034.031539/2023-13,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,08.675.034/0001-98 - SCOPPIO EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 201.005,82",15/12/2025
23034.031261/2023-84,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,28.475.298/0001-05 - TULIPA EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 470.829,74",18/12/2025
23034.025111/2023-31,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,28.039.515/0001-14 - ANDORINHAS EDITORIAL LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 436.314,98",18/12/2025
23034.031472/2023-17,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,19.612.428/0001-13 - ESTUDIO AGUA EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 212.225,41",18/12/2025
23034.028338/2023-39,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,41.150.203/0001-41 - EDITORA BOITATA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 559.043,86",18/12/2025
23034.031133/2023-31,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,39.959.571/0001-93 - EDITORA CARIRI LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",18/12/2025 a 13/12/2026,"R$ 382.892,63",18/12/2025
23034.031175/2023-71,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,80.190.796/0001-21 - MAXIPRINT EDITORA LTDA,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",22/12/2025 a 17/12/2026,"R$ 969.012,76",21/12/2025
23034.031554/2023-61,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,07.635.383/0001-13 - TM CASCABULHO EDITORA ME,"Aquisição de obras literárias no âmbito do programa nacional do livro e do material didático - pnld 2023, objeto 03, nos formatos impresso, html, pdf e vídeo tutorial, destinadas aos estudantes e professores dos anos iniciais do ensino fundamental (1º ao 5º ano), das escolas da educação básica pública, das redes federal, estaduais, municipais e do distrito federal",15/12/2025 a 10/12/2026,"R$ 269.773,57",15/12/2025
